"","state","date","symptom.x","finances_samplesize","finances_stderr","symptom.y","symptom_samplesize","symptoms_stderr","maskwearing","maskwearing_samplesize","maskwearing_stderr","admission","depression"
"91","ri",2021-05-02,40.6206146,722.9915,1.8265203,0.3566427,839.991,0.2253909,94.3517776,719.992,0.860334,0,15.4496715
"92","sc",2021-05-02,37.4765743,3182.0018,0.8581261,1.1112203,3744.002,0.2006573,79.7389664,3183.0018,0.712439,0.0054755,9.1910083
"93","sd",2021-05-02,36.1030642,682.0503,1.8390937,1.7466429,754.1136,0.4418483,67.0741116,679.1784,1.8032431,0.032005,9.3801068
"94","tn",2021-05-02,37.7616777,3733.2507,0.7934344,1.2314561,4354.2511,0.2166565,78.189897,3693.2509,0.6795161,0.0228179,11.9137076
"95","tx",2021-05-02,44.9260099,11363.0111,0.466633,0.9516444,13411.0243,0.0969262,81.5089967,11370.0127,0.3640848,0.0150833,10.3669775
"96","ut",2021-05-02,35.1236328,1669.2189,1.168386,0.9970265,1921.3136,0.2308944,79.1991581,1668.2165,0.993744,0.0043958,13.6666148
"97","va",2021-05-02,34.5607695,5283.6503,0.65425,0.7014407,6138.1428,0.1179594,90.1068831,5250.6423,0.41204,0.0532145,10.4349795
"98","vt",2021-05-02,29.8700264,627.001,1.8278288,0.323266,709.001,0.1762147,92.9178416,628.001,1.0236517,0,12.9272565
"99","wa",2021-05-02,34.2469392,5113.9754,0.6635743,0.6859133,5777.9722,0.1318752,90.6024532,5049.9754,0.4106129,0.0037137,11.5112627
"100","wi",2021-05-02,29.5578848,3819.0048,0.7383763,0.9212109,4312.0054,0.2012652,81.1441234,3808.0047,0.6338743,0.0097971,11.4851543
"101","wv",2021-05-02,40.9276004,1426.0546,1.3020641,1.1947923,1663.0559,0.2959693,82.2676705,1419.0548,1.0139065,0.0400208,12.8161823
"102","wy",2021-05-02,35.8714581,440.7579,2.2845473,0.5440995,479.754,0.2992888,54.9444629,432.7598,2.3917325,0.0245321,9.3062156
"103","ak",2021-05-03,38.7751095,484,2.214715,1.7839364,555,0.8004953,76.0472707,480,1.9480437,0.1367693,11.9775072
"104","al",2021-05-03,38.8195066,2217.0383,1.0350108,0.7619566,2635.0381,0.1507943,73.7158084,2214.0365,0.9354816,0.0551512,12.473083
"105","ar",2021-05-03,39.229047,1564.1933,1.2345443,0.8934369,1846.1937,0.2708646,73.342435,1549.1934,1.1234017,0.0377115,12.4179488
"106","az",2021-05-03,35.8631971,3774.873,0.7805972,0.7652642,4335.4268,0.1698873,82.4365492,3752.873,0.6211306,0.0096247,9.5798281
"107","ca",2021-05-03,41.2742843,14854.2049,0.4039515,0.648483,17428.7757,0.0707034,91.1047847,14867.2048,0.2334717,0.0050803,10.0191086
"108","co",2021-05-03,33.8949177,3415.9029,0.809901,0.9533417,3858.9016,0.1813232,86.2013048,3402.903,0.5912228,0,9.9195758
"109","ct",2021-05-03,35.8669875,2493,0.9605658,0.7311557,2875,0.2029244,92.2776417,2483,0.5357163,0,9.6327369
"110","dc",2021-05-03,28.5889253,289,2.6578641,0,337,0.1568194,92.5262444,292,1.5389003,0,6.696886
"111","de",2021-05-03,40.8050085,729,1.8202685,1.3637761,832,0.9082251,91.5216692,736,1.026782,0,10.3263836
"112","fl",2021-05-03,39.3812618,11308.0002,0.4594681,0.8590731,13259.9997,0.0932069,81.6502105,11343,0.3634379,0.0256354,9.2032072
"113","ga",2021-05-03,38.6562184,3922.968,0.777477,0.6176435,4715.9692,0.0971329,78.4522867,3954.9699,0.6537803,0.0186741,10.1809102
"114","hi",2021-05-03,41.2300551,736,1.8144529,0.2365611,853,0.2039002,92.9455531,736,0.9438585,0,8.8464977
"115","ia",2021-05-03,32.1957494,2354.7215,0.9628485,0.684013,2660.7098,0.1511416,77.7425917,2340.7099,0.8597912,0.0180628,9.2392475
"116","id",2021-05-03,35.1094421,1187.1327,1.3853295,0.7520027,1312.152,0.2441751,67.2938732,1178.1419,1.3667954,0,11.0022198
"117","il",2021-05-03,36.0596577,7149.0014,0.5679049,0.9589468,8297.001,0.1235964,87.7802274,7136.0012,0.3877059,0.0034047,9.9422572
"118","in",2021-05-03,37.7660227,3784.0034,0.7881133,1.3894837,4367.0035,0.2231273,80.4222603,3780.0035,0.6453916,0.0169188,12.0564418
"119","ks",2021-05-03,34.211633,1786.1755,1.1225337,0.9741715,2038.1757,0.3970263,75.9964466,1768.1755,1.0157147,0.0441249,11.9723221
"120","ky",2021-05-03,40.0289124,2378.0701,1.0047211,0.9899813,2783.071,0.2003176,84.5459543,2388.0703,0.7396801,0.0095722,12.8875246
"121","la",2021-05-03,44.3735184,2050.9993,1.0970337,1.3704465,2450.9995,0.2777825,75.5920159,2035.9995,0.9519521,0.0153765,10.3605795
"122","ma",2021-05-03,34.4101739,3389.01,0.8160659,0.5192264,3889.011,0.1686295,92.6287546,3389.009,0.448856,0.006217,10.4902647
"123","md",2021-05-03,36.0721937,2827.9979,0.9030081,0.6422593,3302.9978,0.1854984,92.4336516,2831.9979,0.4969489,0,8.1171315
"124","me",2021-05-03,36.4839825,1356,1.3072628,0.5572606,1527,0.2066083,90.091383,1342,0.81559,0.0105809,13.0802076
"125","mi",2021-05-03,34.0376114,8477.9925,0.5146135,1.2306765,9684.993,0.1370192,88.8852481,8396.9931,0.3430069,0.0028667,11.4265053
"126","mn",2021-05-03,29.1115419,3018.7829,0.8268075,1.0725207,3445.8327,0.2169641,86.8179527,2989.7864,0.6186943,0.0075755,11.4362213
"127","mo",2021-05-03,34.223801,3166.8836,0.8431065,0.8467848,3664.8829,0.245716,76.2002266,3154.8838,0.7581809,0.0069669,12.8402749
"128","ms",2021-05-03,46.5533065,1401.7338,1.3323027,1.3566752,1714.1499,0.3868722,71.4306936,1406.6984,1.2044583,0.0096304,12.0732726
"129","mt",2021-05-03,33.2485655,858.6339,1.6077286,0.8203412,966.6165,0.3180586,68.7757312,850.6247,1.5888934,0,8.3986642
"130","nc",2021-05-03,35.799402,5236.0055,0.6625328,0.7525241,6125.0067,0.1200163,86.3935865,5244.0055,0.4734575,0.1145464,9.9545567
"131","nd",2021-05-03,30.4084288,444.4187,2.1821226,1.6176845,501.4187,0.7067121,65.6319978,447.2906,2.2456397,0,9.8922179
"132","ne",2021-05-03,34.094902,1175.1062,1.3828201,0.78802,1380.0422,0.2346096,79.0523958,1185.1062,1.1820778,0,11.5487149
"133","nh",2021-05-03,29.9724812,1151,1.3503864,1.2834964,1298,0.4351403,87.638492,1142,0.9739802,0.010456,11.2973163
"134","nj",2021-05-03,39.1475402,3951.9987,0.7763953,0.995121,4743.9982,0.1665999,92.0363835,3962.9985,0.430054,0.0112583,9.6624233
"135","nm",2021-05-03,40.542974,1719.0708,1.1841658,1.0222643,1964.4179,0.2965206,89.7867104,1708.0709,0.7327164,0,12.206776
"136","nv",2021-05-03,42.4287957,1333.8298,1.3532649,1.0280658,1554.8298,0.3271309,88.1451785,1338.8298,0.8834543,0.0045521,11.5624203
"137","ny",2021-05-03,42.0977207,8510.0008,0.5351953,0.5320967,10012.001,0.0709721,92.0065751,8499.0007,0.2941656,0.010343,10.8021653
"138","oh",2021-05-03,35.3139511,6636.9988,0.5866683,1.2444005,7684.9986,0.2387163,84.4851945,6657.9988,0.4437022,0,12.5454887
"139","ok",2021-05-03,42.3807748,2141.9988,1.0677229,0.9652602,2517.9981,0.2427543,73.6480125,2154.9986,0.9489945,0.021532,11.8816212
"140","or",2021-05-03,33.7994349,3194.1706,0.8369635,0.8624236,3616.601,0.2334868,88.6282291,3157.1695,0.5650035,0.0033681,13.7099426
"141","pa",2021-05-03,34.9272135,7541.0041,0.5489933,1.2194027,8722.0046,0.1583997,85.2427456,7510.0036,0.4092714,0.0122929,11.1938357
"142","ri",2021-05-03,38.3631815,689.99,1.8512114,0.4963211,800.989,0.2642605,94.0106442,683.991,0.9073052,0,14.6120619
"143","sc",2021-05-03,36.8569184,3062.0027,0.8718055,1.1282387,3607.003,0.1981717,78.8512236,3055.0027,0.7388241,0.0027378,8.9513653
"144","sd",2021-05-03,36.8898516,677.9952,1.8530611,1.711929,753.0144,0.4435897,66.4192055,678.1315,1.8135743,0.032005,9.9161771
"145","tn",2021-05-03,38.9432558,3553.9222,0.8179542,1.3164833,4146.9225,0.2250747,77.7957012,3512.9225,0.7012325,0.0186692,11.4129959
"146","tx",2021-05-03,44.8427711,10882.0163,0.4767523,0.938941,12854.0235,0.1003472,81.5281065,10857.0157,0.3724381,0.0150833,10.715512
"147","ut",2021-05-03,34.7729114,1564.1557,1.2041887,0.9060649,1795.2528,0.2162497,78.4343134,1560.1557,1.0412397,0.0043958,14.0411569
"148","va",2021-05-03,35.3495224,4995.4846,0.676377,0.6451796,5832.7657,0.1137497,89.8959427,4977.805,0.4271683,0.0548775,10.1318706
"149","vt",2021-05-03,27.9226519,575.0008,1.8708696,0.3087155,654.0008,0.1851442,92.4454311,578.0008,1.0992168,0,12.7354058
"150","wa",2021-05-03,34.1093149,4945.9733,0.6740974,0.7709597,5590.9713,0.1457856,90.5652493,4897.9744,0.4176743,0.0037137,11.7214521
"151","wi",2021-05-03,29.6401895,3639.0052,0.7570272,0.8898517,4116.006,0.2025675,80.4253939,3617.0051,0.6597335,0.0097971,11.1433926
"152","wv",2021-05-03,41.7347655,1397.0543,1.3193107,1.2019467,1627.0553,0.3058671,81.7672716,1384.0545,1.0378605,0.0400208,12.3123055
"153","wy",2021-05-03,37.9985304,418.7587,2.3719333,0.5527283,458.7611,0.3056153,52.1986481,413.7587,2.4557047,0.0245321,9.5612015
"154","ak",2021-05-04,38.616408,480,2.2222426,1.5743881,546,0.7739334,75.0517419,479,1.9771187,0.1367693,11.7269769
"155","al",2021-05-04,38.3523414,2161.0335,1.0459803,0.8425888,2584.0333,0.1754731,73.4896581,2161.0317,0.9494896,0.0493459,12.1332181
"156","ar",2021-05-04,40.3204973,1511.1991,1.2618702,1.0110461,1787.1992,0.2891502,74.1962087,1499.1992,1.1300638,0.0282837,12.6758107
"157","az",2021-05-04,35.9933755,3799.4636,0.7786864,0.78437,4351.0174,0.1730049,82.0671223,3773.4636,0.6245102,0.0115496,10.167044
"158","ca",2021-05-04,41.0859843,14523.2048,0.4082488,0.643327,17028.7756,0.0704558,90.9472155,14520.2047,0.2381219,0.005806,10.2140528
"159","co",2021-05-04,34.0050662,3354.8723,0.8178791,0.9252407,3811.8709,0.179926,86.5600993,3348.8724,0.5893966,0,9.6100344
"160","ct",2021-05-04,36.4509708,2404,0.9816163,0.7166909,2788,0.2022891,91.8964157,2401,0.5569187,0.0040162,9.3145551
"161","dc",2021-05-04,26.277821,279,2.635067,0,317,0.1641737,92.0562037,282,1.6103342,0,7.69701
"162","de",2021-05-04,40.072026,735,1.8075561,0.4639306,832,0.2452232,91.5809005,743,1.0186872,0,10.7582639
"163","fl",2021-05-04,39.7260346,10958.0002,0.4674518,0.8725909,12852.9996,0.0905212,81.5633409,10980.0001,0.370073,0.0216915,9.0014479
"164","ga",2021-05-04,39.3626,3815.9707,0.7908783,0.5861342,4612.9719,0.1035606,79.0830749,3843.9726,0.655995,0.0226757,9.9477263
"165","hi",2021-05-04,41.7408892,714,1.8454984,0.2578379,835,0.2044443,92.6317391,710,0.9804676,0,7.7784181
"166","ia",2021-05-04,31.0851026,2340.738,0.9566571,0.4444564,2633.7263,0.1161856,77.0206115,2319.7265,0.8734827,0.0180628,9.4944353
"167","id",2021-05-04,35.4165336,1150.8495,1.40979,0.5988387,1283.8689,0.2115368,67.1606091,1143.8587,1.3885729,0,11.5865911
"168","il",2021-05-04,36.6683848,6965.0011,0.577425,1.015589,8112.0006,0.1467767,87.6265602,6949.0009,0.3950044,0.0022698,10.0005392
"169","in",2021-05-04,38.0409904,3694.0006,0.7987846,1.3456863,4275.0003,0.2234078,80.221431,3685.0006,0.6561813,0.0126891,11.6779361
"170","ks",2021-05-04,34.9495114,1732.1162,1.1456642,1.0153924,1981.1161,0.3994068,75.7041231,1719.1161,1.0343641,0.0441249,12.487226
"171","ky",2021-05-04,40.4531444,2390.7592,1.0037779,1.0907664,2788.76,0.2188759,84.5867558,2397.7592,0.7373869,0.0063815,13.3347955
"172","la",2021-05-04,44.5715663,1995.9994,1.1125385,1.3266154,2404.9995,0.2917922,75.2799431,1987.9996,0.9675117,0.0153765,11.316346
"173","ma",2021-05-04,34.2066082,3285.012,0.827709,0.5655968,3778.013,0.1843181,92.4919777,3276.011,0.4604072,0.006217,11.0711373
"174","md",2021-05-04,35.004883,2749.9979,0.909575,0.7695308,3207.9978,0.2061353,91.8978842,2754.9979,0.5198659,0.004718,7.3548889
"175","me",2021-05-04,35.5905727,1319.2234,1.3182052,0.4831457,1490.2234,0.1930267,90.3248588,1309.2234,0.8170063,0.0105809,14.0262375
"176","mi",2021-05-04,34.5326511,8242.9929,0.5237028,1.1986583,9439.9931,0.139735,88.9231499,8175.9935,0.3470925,0.0028667,11.9058343
"177","mn",2021-05-04,29.172871,2949.6242,0.8369626,0.9072679,3369.6735,0.1948986,86.2796001,2919.6276,0.636757,0.0050503,10.3841041
"178","mo",2021-05-04,34.4267361,3094.8841,0.8540615,0.8640143,3602.8836,0.2437031,75.9459445,3076.8845,0.7705323,0.0092892,12.8510457
"179","ms",2021-05-04,46.3795612,1382.4208,1.3412458,1.0902255,1694.0113,0.3422269,72.4849313,1386.3854,1.1994087,0.0144456,11.7655631
"180","mt",2021-05-04,31.227436,838.3574,1.6005202,0.7300856,950.3401,0.2981172,69.0732554,829.3482,1.6049208,0,8.4636815
"181","nc",2021-05-04,35.8456602,5110.0063,0.6708425,0.7803744,5993.0075,0.1214739,85.771145,5107.0065,0.4888463,0.0970275,9.5412734
"182","nd",2021-05-04,31.0792126,442.8118,2.1993813,1.7778316,497.8118,0.7153105,65.3140252,443.6837,2.2596618,0,10.0630786
