"","state","date","admission","maskwearing","delphi_samplesize","maskwearing_stderr","symptom","symptoms_stderr"
"141","ny",2021-05-03,289.2857143,92.0065751,8499.0007,0.2941656,NA,NA
"142","oh",2021-05-03,182.2857143,84.4851945,6657.9988,0.4437022,NA,NA
"143","ok",2021-05-03,34.8571429,73.6480125,2154.9986,0.9489945,NA,NA
"144","or",2021-05-03,37.2857143,88.6282291,3157.1695,0.5650035,NA,NA
"145","pa",2021-05-03,265.5714286,85.2427456,7510.0036,0.4092714,NA,NA
"146","pr",2021-05-03,28.4285714,NA,NA,NA,NA,NA
"147","ri",2021-05-03,8.7142857,94.0106442,683.991,0.9073052,NA,NA
"148","sc",2021-05-03,48,78.8512236,3055.0027,0.7388241,NA,NA
"149","sd",2021-05-03,12.1428571,66.4192055,678.1315,1.8135743,NA,NA
"150","tn",2021-05-03,87.1428571,77.7957012,3512.9225,0.7012325,NA,NA
"151","tx",2021-05-03,347.4285714,81.5281065,10857.0157,0.3724381,NA,NA
"152","ut",2021-05-03,23.7142857,78.4343134,1560.1557,1.0412397,NA,NA
"153","va",2021-05-03,86.7142857,89.8959427,4977.805,0.4271683,NA,NA
"154","vi",2021-05-03,0.1428571,NA,NA,NA,NA,NA
"155","vt",2021-05-03,3.4285714,92.4454311,578.0008,1.0992168,NA,NA
"156","wa",2021-05-03,73.1428571,90.5652493,4897.9744,0.4176743,NA,NA
"157","wi",2021-05-03,86.5714286,80.4253939,3617.0051,0.6597335,NA,NA
"158","wv",2021-05-03,33.8571429,81.7672716,1384.0545,1.0378605,NA,NA
"159","wy",2021-05-03,6.8571429,52.1986481,413.7587,2.4557047,NA,NA
"160","ak",2021-05-04,6,75.0517419,479,1.9771187,NA,NA
"161","al",2021-05-04,65.1428571,73.4896581,2161.0317,0.9494896,NA,NA
"162","ar",2021-05-04,35.7142857,74.1962087,1499.1992,1.1300638,NA,NA
"163","az",2021-05-04,70.7142857,82.0671223,3773.4636,0.6245102,NA,NA
"164","ca",2021-05-04,230.8571429,90.9472155,14520.2047,0.2381219,NA,NA
"165","co",2021-05-04,120.5714286,86.5600993,3348.8724,0.5893966,NA,NA
"166","ct",2021-05-04,62.1428571,91.8964157,2401,0.5569187,NA,NA
"167","dc",2021-05-04,14.4285714,92.0562037,282,1.6103342,NA,NA
"168","de",2021-05-04,16.8571429,91.5809005,743,1.0186872,NA,NA
"169","fl",2021-05-04,466.8571429,81.5633409,10980.0001,0.370073,NA,NA
"170","ga",2021-05-04,191.5714286,79.0830749,3843.9726,0.655995,NA,NA
"171","hi",2021-05-04,6.2857143,92.6317391,710,0.9804676,NA,NA
"172","ia",2021-05-04,32,77.0206115,2319.7265,0.8734827,NA,NA
"173","id",2021-05-04,13.8571429,67.1606091,1143.8587,1.3885729,NA,NA
"174","il",2021-05-04,234.1428571,87.6265602,6949.0009,0.3950044,NA,NA
"175","in",2021-05-04,111.5714286,80.221431,3685.0006,0.6561813,NA,NA
"176","ks",2021-05-04,27.4285714,75.7041231,1719.1161,1.0343641,NA,NA
"177","ky",2021-05-04,120.7142857,84.5867558,2397.7592,0.7373869,NA,NA
"178","la",2021-05-04,51,75.2799431,1987.9996,0.9675117,NA,NA
"179","ma",2021-05-04,67,92.4919777,3276.011,0.4604072,NA,NA
"180","md",2021-05-04,115.2857143,91.8978842,2754.9979,0.5198659,NA,NA
"181","me",2021-05-04,14.1428571,90.3248588,1309.2234,0.8170063,NA,NA
"182","mi",2021-05-04,346.8571429,88.9231499,8175.9935,0.3470925,NA,NA
"183","mn",2021-05-04,87.1428571,86.2796001,2919.6276,0.636757,NA,NA
"184","mo",2021-05-04,70.2857143,75.9459445,3076.8845,0.7705323,NA,NA
"185","ms",2021-05-04,29.4285714,72.4849313,1386.3854,1.1994087,NA,NA
