"","state","state_full","date","finances_prop","symptom_prop","maskwearing_prop","admission_prop","depression_prop"
"186","NM","District of Columbia",2021-05-04,40.1513739,1.0131346,89.2204202,0,12.0907479
"187","NV","District of Columbia",2021-05-04,41.8056353,0.9444822,87.1152366,0.0045521,11.646572
"188","NY","District of Columbia",2021-05-04,42.2752607,0.6298447,91.5321448,0.010343,10.9871995
"189","OH","District of Columbia",2021-05-04,35.2679511,1.2449038,84.2924252,0,12.3101389
"190","OK","District of Columbia",2021-05-04,42.5188174,0.7855984,72.7770238,0.021532,11.3824581
"191","OR","District of Columbia",2021-05-04,33.4703061,0.9311802,88.2083891,0.0033681,14.0027675
"192","PA","District of Columbia",2021-05-04,34.7713515,1.1265185,84.8182718,0.0178805,10.8947223
"193","RI","District of Columbia",2021-05-04,38.3301014,0.3775065,93.5838846,0,15.2530906
"194","SC","District of Columbia",2021-05-04,36.9910306,1.1508914,78.7617396,0.0054755,8.3449497
"195","SD","District of Columbia",2021-05-04,36.7159152,1.6325282,67.2416429,0.032005,10.8460612
"196","TN","District of Columbia",2021-05-04,39.2966699,1.3231236,77.652244,0.0207435,11.1198309
"197","TX","District of Columbia",2021-05-04,44.6924695,0.9888608,81.2403755,0.0155698,10.4824281
"198","UT","District of Columbia",2021-05-04,34.2340878,0.71004,78.9514845,0,14.3828091
"199","VA","District of Columbia",2021-05-04,35.4506278,0.6199897,89.0839509,0.0498886,10.6834032
"200","VT","District of Columbia",2021-05-04,29.025988,0.3142908,92.1910235,0,14.2201465
"201","WA","District of Columbia",2021-05-04,33.6654666,0.7696204,89.7218857,0.0037137,12.1533515
"202","WI","District of Columbia",2021-05-04,29.8177816,0.9966451,80.2171843,0.0097971,10.588136
"203","WV","District of Columbia",2021-05-04,42.1425868,1.0322624,83.0990371,0.0400208,12.1068672
"204","WY","District of Columbia",2021-05-04,36.299861,0.5604166,52.8225549,0.0245321,8.691363
"205","AK","District of Columbia",2021-05-05,41.8421312,0.6847896,76.8866863,0.1367693,14.9356061
"206","AL","District of Columbia",2021-05-05,38.8154187,0.7751086,73.5412271,0.0435405,12.0930609
"207","AR","District of Columbia",2021-05-05,41.2680906,0.8615268,75.3523009,0.0235697,13.2526709
"208","AZ","District of Columbia",2021-05-05,35.4361243,0.7899726,81.4168281,0.0134745,10.1984651
"209","CA","District of Columbia",2021-05-05,41.0403069,0.6430911,90.9320249,0.0061689,9.9021238
"210","CO","District of Columbia",2021-05-05,33.9137945,0.8002679,86.7809314,0,9.1919519
"211","CT","District of Columbia",2021-05-05,36.7164895,0.7042093,91.6730005,0.0040162,8.752739
