,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
131,ne,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,11.5487149,0.9323529,1175.1063,state,fb-survey
132,nh,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,11.2973163,0.9371588,1141.0,state,fb-survey
133,nj,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,9.6624233,0.4730914,3899.9986,state,fb-survey
134,nm,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,12.206776,0.7960749,1691.0408,state,fb-survey
135,nv,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,11.5624203,0.8815419,1315.8298,state,fb-survey
136,ny,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,10.8021653,0.3381797,8425.0008,state,fb-survey
137,oh,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,12.5454887,0.407474,6607.9987,state,fb-survey
138,ok,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,11.8816212,0.7035841,2114.9989,state,fb-survey
139,or,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,13.7099426,0.6109778,3169.1695,state,fb-survey
140,pa,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,11.1938357,0.3642361,7493.004,state,fb-survey
141,ri,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,14.6120619,1.3636283,670.99,state,fb-survey
142,sc,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,8.9513653,0.5213063,2999.0025,state,fb-survey
143,sd,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,9.9161771,1.1469589,679.04,state,fb-survey
144,tn,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,11.4129959,0.5375485,3498.9223,state,fb-survey
145,tx,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,10.715512,0.2986866,10724.0167,state,fb-survey
146,ut,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,14.0411569,0.8792728,1561.1557,state,fb-survey
147,va,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,10.1318706,0.4289365,4948.9076,state,fb-survey
148,vt,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,12.7354058,1.385434,579.0008,state,fb-survey
149,wa,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,11.7214521,0.4590698,4909.9744,state,fb-survey
150,wi,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,11.1433926,0.5239384,3607.0053,state,fb-survey
151,wv,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,12.3123055,0.8832069,1384.0543,state,fb-survey
152,wy,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,9.5612015,1.4456397,413.7587,state,fb-survey
153,ak,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,11.7269769,1.4670148,481.0,state,fb-survey
154,al,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,12.1332181,0.706309,2137.0333,state,fb-survey
155,ar,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,12.6758107,0.8609864,1493.1991,state,fb-survey
156,az,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,10.167044,0.4934836,3750.4636,state,fb-survey
157,ca,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,10.2140528,0.2534615,14275.2048,state,fb-survey
158,co,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,9.6100344,0.5102122,3336.9022,state,fb-survey
159,ct,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,9.3145551,0.5946231,2389.0,state,fb-survey
160,dc,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,7.69701,1.6131977,273.0,state,fb-survey
161,de,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,10.7582639,1.1476021,729.0,state,fb-survey
162,fl,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,9.0014479,0.2748899,10840.0,state,fb-survey
163,ga,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,9.9477263,0.4861735,3789.971,state,fb-survey
164,hi,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,7.7784181,1.006573,708.0,state,fb-survey
165,ia,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,9.4944353,0.6088932,2317.7264,state,fb-survey
166,id,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,11.5865911,0.9471837,1141.8403,state,fb-survey
167,il,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,10.0005392,0.3609048,6910.001,state,fb-survey
168,in,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,11.6779361,0.5308564,3660.0006,state,fb-survey
169,ks,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,12.487226,0.7996187,1709.1162,state,fb-survey
170,ky,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,13.3347955,0.6974521,2375.7589,state,fb-survey
171,la,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,11.316346,0.7137429,1969.9996,state,fb-survey
172,ma,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,11.0711373,0.5495509,3260.012,state,fb-survey
173,md,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,7.3548889,0.5006046,2718.998,state,fb-survey
174,me,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,14.0262375,0.9626704,1301.2234,state,fb-survey
175,mi,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,11.9058343,0.3581651,8175.9931,state,fb-survey
176,mn,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,10.3841041,0.5638878,2926.6358,state,fb-survey
177,mo,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,12.8510457,0.6042002,3067.8839,state,fb-survey
178,ms,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,11.7655631,0.8700416,1371.4209,state,fb-survey
179,mt,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,8.4636815,0.9676702,827.3666,state,fb-survey
180,nc,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,9.5412734,0.4119862,5085.0064,state,fb-survey
181,nd,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,10.0630786,1.4313235,441.767,state,fb-survey
182,ne,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,12.3137075,0.9556718,1182.2328,state,fb-survey
183,nh,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,11.3642273,0.9463272,1124.7766,state,fb-survey
184,nj,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,9.7449129,0.479147,3830.999,state,fb-survey
185,nm,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,12.0907479,0.8039501,1644.4836,state,fb-survey
186,nv,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,11.646572,0.9018781,1265.1028,state,fb-survey
187,ny,smoothed_wdepressed_7d,2021-05-04,2021-05-09,5,10.9871995,0.3448484,8224.0005,state,fb-survey
