,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
146,ut,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,78.4343134,1.0412397,1560.1557,state,fb-survey
147,va,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,89.8959427,0.4271683,4977.805,state,fb-survey
148,vt,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,92.4454311,1.0992168,578.0008,state,fb-survey
149,wa,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,90.5652493,0.4176743,4897.9744,state,fb-survey
150,wi,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,80.4253939,0.6597335,3617.0051,state,fb-survey
151,wv,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,81.7672716,1.0378605,1384.0545,state,fb-survey
152,wy,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,52.1986481,2.4557047,413.7587,state,fb-survey
153,ak,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,75.0517419,1.9771187,479.0,state,fb-survey
154,al,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,73.4896581,0.9494896,2161.0317,state,fb-survey
155,ar,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,74.1962087,1.1300638,1499.1992,state,fb-survey
156,az,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,82.0671223,0.6245102,3773.4636,state,fb-survey
157,ca,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,90.9472155,0.2381219,14520.2047,state,fb-survey
158,co,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,86.5600993,0.5893966,3348.8724,state,fb-survey
159,ct,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,91.8964157,0.5569187,2401.0,state,fb-survey
160,dc,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,92.0562037,1.6103342,282.0,state,fb-survey
161,de,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,91.5809005,1.0186872,743.0,state,fb-survey
162,fl,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,81.5633409,0.370073,10980.0001,state,fb-survey
163,ga,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,79.0830749,0.655995,3843.9726,state,fb-survey
164,hi,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,92.6317391,0.9804676,710.0,state,fb-survey
165,ia,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,77.0206115,0.8734827,2319.7265,state,fb-survey
166,id,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,67.1606091,1.3885729,1143.8587,state,fb-survey
167,il,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,87.6265602,0.3950044,6949.0009,state,fb-survey
168,in,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,80.221431,0.6561813,3685.0006,state,fb-survey
169,ks,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,75.7041231,1.0343641,1719.1161,state,fb-survey
170,ky,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,84.5867558,0.7373869,2397.7592,state,fb-survey
171,la,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,75.2799431,0.9675117,1987.9996,state,fb-survey
172,ma,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,92.4919777,0.4604072,3276.011,state,fb-survey
173,md,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,91.8978842,0.5198659,2754.9979,state,fb-survey
174,me,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,90.3248588,0.8170063,1309.2234,state,fb-survey
175,mi,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,88.9231499,0.3470925,8175.9935,state,fb-survey
176,mn,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,86.2796001,0.636757,2919.6276,state,fb-survey
177,mo,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,75.9459445,0.7705323,3076.8845,state,fb-survey
178,ms,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,72.4849313,1.1994087,1386.3854,state,fb-survey
179,mt,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,69.0732554,1.6049208,829.3482,state,fb-survey
180,nc,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,85.771145,0.4888463,5107.0065,state,fb-survey
181,nd,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,65.3140252,2.2596618,443.6837,state,fb-survey
182,ne,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,78.2458775,1.1943702,1193.2327,state,fb-survey
183,nh,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,88.0417478,0.9661991,1127.7766,state,fb-survey
184,nj,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,91.882151,0.4374928,3896.9989,state,fb-survey
185,nm,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,89.2204202,0.7589935,1669.5137,state,fb-survey
186,nv,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,87.1152366,0.9331286,1289.1028,state,fb-survey
187,ny,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,91.5321448,0.305311,8315.0003,state,fb-survey
188,oh,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,84.2924252,0.447151,6622.0012,state,fb-survey
189,ok,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,72.7770238,0.9722309,2095.9991,state,fb-survey
190,or,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,88.2083891,0.5821449,3069.1692,state,fb-survey
191,pa,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,84.8182718,0.4186776,7346.0032,state,fb-survey
192,ri,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,93.5838846,0.9281617,696.989,state,fb-survey
193,sc,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,78.7617396,0.7548121,2936.0032,state,fb-survey
194,sd,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,67.2416429,1.8435995,648.078,state,fb-survey
195,tn,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,77.652244,0.7034151,3507.2325,state,fb-survey
196,tx,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,81.2403755,0.3800588,10551.0209,state,fb-survey
197,ut,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,78.9514845,1.0462469,1518.1454,state,fb-survey
198,va,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,89.0839509,0.4456145,4897.1829,state,fb-survey
199,vt,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,92.1910235,1.1238378,570.0008,state,fb-survey
200,wa,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,89.7218857,0.4367257,4834.9755,state,fb-survey
201,wi,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,80.2171843,0.6688779,3547.0049,state,fb-survey
202,wv,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,83.0990371,1.0147189,1364.0048,state,fb-survey
203,wy,smoothed_wwearing_mask_7d,2021-05-04,2021-05-09,5,52.8225549,2.4751337,406.7771,state,fb-survey
204,ak,smoothed_wwearing_mask_7d,2021-05-05,2021-05-10,5,76.8866863,1.9281585,478.0,state,fb-survey
205,al,smoothed_wwearing_mask_7d,2021-05-05,2021-05-10,5,73.5412271,0.9587069,2117.0389,state,fb-survey
206,ar,smoothed_wwearing_mask_7d,2021-05-05,2021-05-10,5,75.3523009,1.1331768,1446.3638,state,fb-survey
207,az,smoothed_wwearing_mask_7d,2021-05-05,2021-05-10,5,81.4168281,0.6392513,3702.4636,state,fb-survey
208,ca,smoothed_wwearing_mask_7d,2021-05-05,2021-05-10,5,90.9320249,0.2392262,14408.2047,state,fb-survey
209,co,smoothed_wwearing_mask_7d,2021-05-05,2021-05-10,5,86.7809314,0.5940357,3250.8733,state,fb-survey
210,ct,smoothed_wwearing_mask_7d,2021-05-05,2021-05-10,5,91.6730005,0.565153,2390.0,state,fb-survey
211,dc,smoothed_wwearing_mask_7d,2021-05-05,2021-05-10,5,92.1936173,1.6118902,277.0,state,fb-survey
212,de,smoothed_wwearing_mask_7d,2021-05-05,2021-05-10,5,91.9371284,1.0167888,717.0,state,fb-survey
213,fl,smoothed_wwearing_mask_7d,2021-05-05,2021-05-10,5,81.5110969,0.3738472,10782.9996,state,fb-survey
214,ga,smoothed_wwearing_mask_7d,2021-05-05,2021-05-10,5,78.3208462,0.6719979,3759.965,state,fb-survey
215,hi,smoothed_wwearing_mask_7d,2021-05-05,2021-05-10,5,92.0493777,1.0061016,723.0,state,fb-survey
216,ia,smoothed_wwearing_mask_7d,2021-05-05,2021-05-10,5,76.6171997,0.8837837,2293.6694,state,fb-survey
217,id,smoothed_wwearing_mask_7d,2021-05-05,2021-05-10,5,66.3074166,1.3926712,1151.8587,state,fb-survey
218,il,smoothed_wwearing_mask_7d,2021-05-05,2021-05-10,5,87.3395469,0.4038157,6781.0009,state,fb-survey
219,in,smoothed_wwearing_mask_7d,2021-05-05,2021-05-10,5,79.9689086,0.6624703,3650.0008,state,fb-survey
220,ks,smoothed_wwearing_mask_7d,2021-05-05,2021-05-10,5,76.4593159,1.0353525,1679.0864,state,fb-survey
221,ky,smoothed_wwearing_mask_7d,2021-05-05,2021-05-10,5,83.5817314,0.7698413,2315.4547,state,fb-survey
